% time	cellId	IMSI	RNTI	sinrLinear
0.68	1	10	10	5.27268e+11
0.681	1	1	1	10.7919
0.682	1	2	2	5.55505
0.683	1	3	3	0.312868
0.684	1	4	4	0.15474
0.685	1	5	5	0.097448
0.686	1	6	6	0.035314
0.687	1	7	7	0.0705401
0.688	1	8	8	0.0277758
0.689	1	9	9	0.0420976
0.69	1	10	10	5.07573e+11
0.691	1	1	1	15.0904
0.692	1	2	2	4.44449
0.693	1	3	3	0.276084
0.694	1	4	4	0.153747
0.695	1	5	5	0.0773404
0.696	1	6	6	0.0301451
0.697	1	7	7	0.0684172
0.698	1	8	8	0.0204905
0.699	1	9	9	0.053994
0.7	1	10	10	5.48722e+11
0.701	1	1	1	18.7628
0.702	1	2	2	3.42544
0.703	1	3	3	0.300323
0.704	1	4	4	0.141154
0.705	1	5	5	0.0589179
0.706	1	6	6	0.0271056
0.707	1	7	7	0.0596963
0.708	1	8	8	0.0139698
0.709	1	9	9	0.0649716
0.71	1	10	10	6.23282e+11
0.711	1	1	1	21.0957
0.712	1	2	2	2.54762
0.713	1	3	3	0.37119
0.714	1	4	4	0.119081
0.715	1	5	5	0.0478386
0.716	1	6	6	0.0283676
0.717	1	7	7	0.0469171
0.718	1	8	8	0.00976926
0.719	1	9	9	0.0714634
0.72	1	10	10	6.92635e+11
0.721	1	1	1	21.7783
0.722	1	2	2	1.85686
0.723	1	3	3	0.462028
0.724	1	4	4	0.093378
0.725	1	5	5	0.0477161
0.726	1	6	6	0.0355523
0.727	1	7	7	0.0336816
0.728	1	8	8	0.00868315
0.729	1	9	9	0.0713877
0.73	1	10	10	7.20665e+11
0.731	1	1	1	20.8849
0.732	1	2	2	1.40237
0.733	1	3	3	0.542145
0.734	1	4	4	0.0727556
0.735	1	5	5	0.0589581
0.736	1	6	6	0.0490128
0.737	1	7	7	0.0238254
0.738	1	8	8	0.0104902
0.739	1	9	9	0.0647204
0.74	1	10	10	6.86349e+11
0.741	1	1	1	18.8476
0.742	1	2	2	1.22691
0.743	1	3	3	0.585197
0.744	1	4	4	0.0655218
0.745	1	5	5	0.0792632
0.746	1	6	6	0.0675546
0.747	1	7	7	0.0198936
0.748	1	8	8	0.0141159
0.749	1	9	9	0.053227
0.75	1	10	10	5.86468e+11
0.751	1	1	1	16.269
0.752	1	2	2	1.34373
0.753	1	3	3	0.57955
0.754	1	4	4	0.0765937
0.755	1	5	5	0.104674
0.756	1	6	6	0.0885495
0.757	1	7	7	0.0223995
0.758	1	8	8	0.0180184
0.759	1	9	9	0.040415
0.76	1	10	10	4.4211e+11
0.761	1	1	1	13.7153
0.762	1	2	2	1.72123
0.763	1	3	3	0.526788
0.764	1	4	4	0.105709
0.765	1	5	5	0.130995
0.766	1	6	6	0.108725
0.767	1	7	7	0.0297284
0.768	1	8	8	0.0207009
0.769	1	9	9	0.0298622
0.77	1	10	10	2.88011e+11
0.771	1	1	1	11.5807
0.772	1	2	2	2.27302
0.773	1	3	3	0.443727
0.774	1	4	4	0.147136
0.775	1	5	5	0.155222
0.776	1	6	6	0.125025
0.777	1	7	7	0.0387318
0.778	1	8	8	0.0213127
0.779	1	9	9	0.0244142
0.78	1	10	10	1.63699e+11
0.781	1	1	1	9.97816
0.782	1	2	2	2.8639
0.783	1	3	3	0.356727
0.784	1	4	4	0.19121
0.785	1	5	5	0.175414
0.786	1	6	6	0.135348
0.787	1	7	7	0.0458679
0.788	1	8	8	0.0198543
0.789	1	9	9	0.0251892
0.79	1	10	10	1.00195e+11
0.791	1	1	1	8.7874
0.792	1	2	2	3.32881
0.793	1	3	3	0.294352
0.794	1	4	4	0.227961
0.795	1	5	5	0.190706
0.796	1	6	6	0.139408
0.797	1	7	7	0.0484482
0.798	1	8	8	0.0173352
0.799	1	9	9	0.0313718
0.8	1	10	10	1.09694e+11
0.801	1	1	1	7.83206
0.802	1	2	2	3.5242
0.803	1	3	3	0.278221
0.804	1	4	4	0.249666
0.805	1	5	5	0.200334
0.806	1	6	6	0.138761
0.807	1	7	7	0.045438
0.808	1	8	8	0.0152737
0.809	1	9	9	0.0405706
0.81	1	10	10	1.82371e+11
0.811	1	1	1	6.97466
0.812	1	2	2	3.37639
0.813	1	3	3	0.317583
0.814	1	4	4	0.252568
0.815	1	5	5	0.20293
0.816	1	6	6	0.136217
0.817	1	7	7	0.0377191
0.818	1	8	8	0.01515
0.819	1	9	9	0.0496046
0.82	1	10	10	2.9128e+11
0.821	1	1	1	6.18572
0.822	1	2	2	2.91313
0.823	1	3	3	0.405115
0.824	1	4	4	0.238269
0.825	1	5	5	0.196669
0.826	1	6	6	0.135125
0.827	1	7	7	0.0279354
0.828	1	8	8	0.017811
0.829	1	9	9	0.0554437
0.83	1	10	10	4.00174e+11
0.831	1	1	1	5.63262
0.832	1	2	2	2.25454
0.833	1	3	3	0.519821
0.834	1	4	4	0.212194
0.835	1	5	5	0.180531
0.836	1	6	6	0.138054
0.837	1	7	7	0.0192738
0.838	1	8	8	0.0231073
0.839	1	9	9	0.0562162
0.84	1	10	10	4.76808e+11
0.841	1	1	1	5.56487
0.842	1	2	2	1.6017
0.843	1	3	3	0.631429
0.844	1	4	4	0.183112
0.845	1	5	5	0.155291
0.846	1	6	6	0.145766
0.847	1	7	7	0.0146791
0.848	1	8	8	0.0297834
0.849	1	9	9	0.0515681
0.85	1	10	10	5.03237e+11
0.851	1	1	1	6.18549
0.852	1	2	2	1.17146
0.853	1	3	3	0.708083
0.854	1	4	4	0.159491
0.855	1	5	5	0.12576
0.856	1	6	6	0.157109
0.857	1	7	7	0.0157777
0.858	1	8	8	0.0359658
0.859	1	9	9	0.0425738
0.86	1	10	10	4.78983e+11
0.861	1	1	1	7.52117
0.862	1	2	2	1.12272
0.863	1	3	3	0.727476
0.864	1	4	4	0.148294
0.865	1	5	5	0.0999173
0.866	1	6	6	0.168735
0.867	1	7	7	0.0224967
0.868	1	8	8	0.0396205
0.869	1	9	9	0.031659
0.87	1	10	10	4.2346e+11
0.871	1	1	1	9.33755
0.872	1	2	2	1.51087
0.873	1	3	3	0.681267
0.874	1	4	4	0.153823
0.875	1	5	5	0.0881246
0.876	1	6	6	0.176181
0.877	1	7	7	0.0332861
0.878	1	8	8	0.0393504
0.879	1	9	9	0.0213718
0.88	1	10	10	3.66467e+11
0.881	1	1	1	11.1718
0.882	1	2	2	2.25234
0.883	1	3	3	0.578401
0.884	1	4	4	0.176583
